"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Leptospirosis","Confirmed cases","Reported cases","N","2011","EUEEA30_21","EU/EEA (without UK)",487.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",539.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","FI","Finland",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","FR","France",71.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","HU","Hungary",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","IE","Ireland",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","IT","Italy",43.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","LT","Lithuania",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","LV","Latvia",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","MT","Malta",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","NL","Netherlands",29.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","PL","Poland",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","PT","Portugal",33.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","RO","Romania",98.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","SE","Sweden",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","SI","Slovenia",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","SK","Slovakia",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2011","UK","United Kingdom",52.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","AT","Austria",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","BE","Belgium",14.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","BG","Bulgaria",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","CZ","Czechia",22.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","DE","Germany",85.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","DK","Denmark",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","EE","Estonia",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","EL","Greece",14.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","ES","Spain",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","EU27_21","EU (without UK)",450.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","EU27_UK_21","EU (with UK until 2019)",528.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","EUEEA30_21","EU/EEA (without UK)",450.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",528.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","FI","Finland",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","FR","France",25.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","HU","Hungary",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","IE","Ireland",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","IT","Italy",46.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","LT","Lithuania",20.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","LU","Luxembourg",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","LV","Latvia",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","MT","Malta",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","NL","Netherlands",48.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","PL","Poland",2.000000000,""
